COD_INE,ID_REL,COD_GEO,COD_PROV,PROVINCIA,NOMBRE_ACTUAL,POBLACION_MUNI,SUPERFICIE,PERIMETRO,COD_INE_CAPITAL,CAPITAL,POBLACION_CAPITAL,HOJA_MTN25_ETRS89,LONGITUD_ETRS89,LATITUD_ETRS89,ORIGENCOOR,ALTITUD,ORIGENALTITUD
"01001000000","1010014","01010","01","Araba/Álava","Alegría-Dulantzi",2913,1.9945871999999999e+03,3.5069000000000000e+04,"01001000101","Alegría-Dulantzi","2804","0113-3",-2.5124373100000001e+00,4.2839811580000003e+01,"Mapa",5.6800000000000000e+02,"MDT5"
"01002000000","1010029","01020","01","Araba/Álava","Amurrio",10291,9.6352890000000007e+03,6.5134000000000000e+04,"01002000201","Amurrio","9159","0086-4",-3.0000732600000002e+00,4.3054277759999998e+01,"Mapa",2.1900000000000000e+02,"MDT5"
"01003000000","1010035","01030","01","Araba/Álava","Aramaio",1496,7.3274026999999996e+03,4.1818000000000000e+04,"01003000601","Ibarra","802","0087-4",-2.5654003699999999e+00,4.3051196529999999e+01,"Mapa",3.3300000000000000e+02,"MDT5"
"01004000000","1010040","01040","01","Araba/Álava","Artziniega",1829,2.7287300000000000e+03,2.2886000000000000e+04,"01004000101","Artziniega","1699","0086-1",-3.1279171799999999e+00,4.3120843579999999e+01,"Mapa",2.1000000000000000e+02,"MDT5"
"01006000000","1010066","01060","01","Araba/Álava","Armiñón",239,1.2944326000000001e+03,2.4606000000000000e+04,"01006000101","Armiñón","113","0137-4",-2.8718347500000001e+00,4.2723261989999997e+01,"Mapa",4.6700000000000000e+02,"MDT5"
"01008000000","1010088","01080","01","Araba/Álava","Arratzua-Ubarrundia",976,5.7409889000000003e+03,6.6639000000000000e+04,"01008000501","Durana","333","0112-4",-2.6387881599999998e+00,4.2891161709999999e+01,"Mapa",5.2800000000000000e+02,"MDT5"
"01009000000","1010091","01090","01","Araba/Álava","Asparrena",1640,6.5336400000000003e+03,5.3712000000000000e+04,"01009000401","Araia","1233","0113-4",-2.3167075399999999e+00,4.2889687680000002e+01,"Mapa",6.0200000000000000e+02,"MDT5"
"01010000000","1010105","01100","01","Araba/Álava","Ayala/Aiara",2969,1.4074150000000000e+04,6.4072000000000000e+04,"01010002001","Arespalditza/Respaldiza","418","0086-3",-3.0430674600000001e+00,4.3077682830000001e+01,"Mapa",3.0600000000000000e+02,"MDT5"
"01011000000","1010112","01110","01","Araba/Álava","Baños de Ebro/Mañueta",306,9.4597519999999997e+02,1.8610000000000000e+04,"01011000101","Baños de Ebro/Mañueta","306","0170-4",-2.6786358300000002e+00,4.2529256019999998e+01,"Mapa",4.2100000000000000e+02,"MDT5"
"01013000000","1010133","01130","01","Araba/Álava","Barrundia",898,9.7423400000000001e+03,5.7432000000000000e+04,"01013001401","Ozaeta","192","0113-3",-2.4940745199999999e+00,4.2915375380000000e+01,"Mapa",5.7500000000000000e+02,"MDT5"
"01014000000","1010148","01140","01","Araba/Álava","Berantevilla",443,3.5730030999999999e+03,3.8711000000000000e+04,"01014000101","Berantevilla","289","0137-4",-2.8597141399999999e+00,4.2682271909999997e+01,"Mapa",4.7100000000000000e+02,"MDT5"
"01016000000","1010164","01160","01","Araba/Álava","Bernedo",504,1.3044290199999999e+04,8.5973000000000000e+04,"01016000301","Bernedo","167","0171-1",-2.4982543900000000e+00,4.2626769889999998e+01,"Mapa",7.1000000000000000e+02,"MDT5"
"01017000000","1010170","01170","01","Araba/Álava","Campezo/Kanpezu",1048,8.5360874999999996e+03,5.3461000000000000e+04,"01017000501","Santa Cruz de Campezo/Santikurutze Kanpezu","778","0139-4",-2.3520769300000000e+00,4.2669712089999997e+01,"Mapa",5.7800000000000000e+02,"MDT5"
"01018000000","1010186","01180","01","Araba/Álava","Zigoitia",1766,1.0206937599999999e+04,4.8596000000000000e+04,"01018000901","Gopegi","267","0112-1",-2.7303300199999998e+00,4.2962106089999999e+01,"Mapa",5.8500000000000000e+02,"MDT5"
"01019000000","1010199","01190","01","Araba/Álava","Kripan",184,1.2515989999999999e+03,1.5980000000000000e+04,"01019000101","Kripan","184","0171-1",-2.5162163600000000e+00,4.2590824390000002e+01,"Mapa",6.9100000000000000e+02,"MDT5"
"01020000000","1010203","01200","01","Araba/Álava","Kuartango",372,8.4034771000000001e+03,4.4173000000000000e+04,"01020002001","Zuhatzu Kuartango","140","0111-4",-2.8843824300000001e+00,4.2870064110000001e+01,"Mapa",5.9400000000000000e+02,"MDT5"
"01021000000","1010210","01210","01","Araba/Álava","Elburgo/Burgelu",607,3.2093031000000001e+03,5.8514000000000000e+04,"01021000401","Elburgo/Burgelu","161","0112-4",-2.5460181500000001e+00,4.2849405750000003e+01,"Mapa",5.4700000000000000e+02,"MDT5"
"01022000000","1010225","01220","01","Araba/Álava","Elciego",1030,1.6323128999999999e+03,2.1825000000000000e+04,"01022000101","Elciego","1030","0170-4",-2.6172387200000000e+00,4.2514207380000002e+01,"Mapa",4.5100000000000000e+02,"MDT5"
"01023000000","1010231","01230","01","Araba/Álava","Elvillar/Bilar",353,1.7502228000000000e+03,2.1190000000000000e+04,"01023000101","Elvillar/Bilar","353","0170-4",-2.5444126699999998e+00,4.2568425769999997e+01,"Mapa",5.8100000000000000e+02,"MDT5"
"01027000000","1010278","01250","01","Araba/Álava","Iruraiz-Gauna",530,4.7128627999999999e+03,8.1139000000000000e+04,"01027000101","Azilu","30","0139-1",-2.4739654899999999e+00,4.2831085710000004e+01,"Mapa",6.3400000000000000e+02,"MDT5"
"01028000000","1010284","01260","01","Araba/Álava","Labastida/Bastida",1454,3.8169756000000002e+03,3.5481000000000000e+04,"01028000103","Labastida/Bastida","1272","0170-1",-2.7928870500000000e+00,4.2590761049999998e+01,"Mapa",5.5400000000000000e+02,"MDT5"
"01030000000","1010301","01280","01","Araba/Álava","Lagrán",166,4.5620200000000004e+03,3.4064000000000000e+04,"01030000101","Lagran","101","0170-2",-2.5842337700000000e+00,4.2626214640000001e+01,"Mapa",7.5100000000000000e+02,"MDT5"
"01031000000","1010318","01290","01","Araba/Álava","Laguardia",1474,8.1085140000000001e+03,8.4436000000000000e+04,"01031000202","Laguardia/Biasteri","1323","0170-4",-2.5841169300000000e+00,4.2552366550000002e+01,"Mapa",6.3000000000000000e+02,"MDT5"
"01032000000","1010323","01300","01","Araba/Álava","Lanciego/Lantziego",673,2.4196239000000000e+03,2.6300000000000000e+04,"01032000201","Lanciego/Lantziego","589","0171-3",-2.5127816200000002e+00,4.2562441600000000e+01,"Mapa",5.4200000000000000e+02,"MDT5"
"01033000000","1010339","01310","01","Araba/Álava","Lapuebla de Labarca",859,5.9877670000000001e+02,1.2420000000000000e+04,"01033000101","La Puebla de Labarca/Lapuebla Labarka","859","0203-2",-2.5720900100000001e+00,4.2494414679999998e+01,"Mapa",4.3100000000000000e+02,"MDT5"
"01034000000","1010344","01320","01","Araba/Álava","Leza",203,9.9225429999999994e+02,1.4579000000000000e+04,"01034000101","Leza","172","0170-4",-2.6345942800000000e+00,4.2564696869999999e+01,"Mapa",5.6900000000000000e+02,"MDT5"
"01036000000","1010360","01340","01","Araba/Álava","Laudio/Llodio",18133,3.7560000000000000e+03,2.7576000000000000e+04,"01036000101","Laudio/Llodio","18133","0086-2",-2.9625649500000000e+00,4.3142518799999998e+01,"Mapa",1.2300000000000000e+02,"MDT5"
"01037000000","1010376","01350","01","Araba/Álava","Arraia-Maeztu",725,1.2310794200000000e+04,5.9163000000000000e+04,"01037001001","Maeztu/Maestu","338","0139-3",-2.4466387200000002e+00,4.2740002169999997e+01,"Mapa",6.5800000000000000e+02,"MDT5"
"01039000000","1010395","01360","01","Araba/Álava","Moreda de Álava/Moreda Araba",230,8.6711059999999998e+02,1.2022000000000000e+04,"01039000101","Moreda de Álava/Moreda Araba","230","0171-3",-2.4084171799999998e+00,4.2524791669999999e+01,"Mapa",4.6100000000000000e+02,"MDT5"
"01041000000","1010416","01380","01","Araba/Álava","Navaridas",226,8.9163980000000004e+02,1.1775000000000000e+04,"01041000101","Navaridas","226","0170-4",-2.6247954400000002e+00,4.2545059400000000e+01,"Mapa",5.3500000000000000e+02,"MDT5"
"01042000000","1010421","01390","01","Araba/Álava","Okondo",1155,2.9792300000000000e+03,3.4703000000000000e+04,"01042000001","Eskauriatza","0","0061-4",-3.0190268228999999e+00,4.3161551296299997e+01,"Mapa",1.3500000000000000e+02,"Mapa"
"01043000000","1010437","01400","01","Araba/Álava","Oyón-Oion",3338,4.5177474000000002e+03,4.2025000000000000e+04,"01043000301","Oion","3152","0171-3",-2.4377558499999998e+00,4.2506261619999997e+01,"Mapa",4.3300000000000000e+02,"MDT5"
"01044000000","1010442","01410","01","Araba/Álava","Peñacerrada-Urizaharra",264,6.2175400000000000e+03,4.2084000000000000e+04,"01044000601","Peñacerrada/Urizaharra","114","0170-1",-2.7140282099999999e+00,4.2644175120000000e+01,"Mapa",7.5200000000000000e+02,"MDT5"
"01046000000","1010468","01430","01","Araba/Álava","Erriberagoitia/Ribera Alta",736,1.1978213100000001e+04,8.3147000000000000e+04,"01046001901","Pobes","143","0137-2",-2.9108064200000001e+00,4.2800746820000001e+01,"Mapa",5.4500000000000000e+02,"MDT5"
"01047000000","1010474","01440","01","Araba/Álava","Ribera Baja/Erribera Beitia",1375,2.5360437999999999e+03,3.0506000000000000e+04,"01047000501","Ribabellosa","1097","0137-4",-2.9170400200000000e+00,4.2713397919999998e+01,"Mapa",4.8300000000000000e+02,"MDT5"
"01049000000","1010493","01460","01","Araba/Álava","Añana",156,2.1923285000000001e+03,2.1681000000000000e+04,"01049000201","Salinas de Añana/Gesaltza Añana","143","0137-2",-2.9860163399999999e+00,4.2801231799999996e+01,"Mapa",5.7400000000000000e+02,"MDT5"
"01051000000","1010513","01470","01","Araba/Álava","Agurain/Salvatierra",5025,3.7769884000000002e+03,3.7786000000000000e+04,"01051000601","Agurain/Salvatierra","4900","0113-3",-2.3887439100000001e+00,4.2850022650000000e+01,"Mapa",6.0500000000000000e+02,"MDT5"
"01052000000","1010528","01480","01","Araba/Álava","Samaniego",323,1.0637610000000000e+03,1.6532000000000000e+04,"01052000101","Samaniego","323","0170-4",-2.6790486200000001e+00,4.2567351969999997e+01,"Mapa",5.7100000000000000e+02,"MDT5"
"01053000000","1010534","01490","01","Araba/Álava","San Millán/Donemiliaga",709,8.5405799999999999e+03,1.0724200000000000e+05,"01053001101","Ordoñana/Erdoñana","42","0113-3",-2.3774890200000001e+00,4.2873825709999998e+01,"Mapa",6.0000000000000000e+02,"MDT5"
"01054000000","1010549","01500","01","Araba/Álava","Urkabustaiz",1330,6.0848425999999999e+03,3.7107000000000000e+04,"01054000701","Izarra","983","0111-2",-2.9066104600000000e+00,4.2953040459999997e+01,"Mapa",6.3300000000000000e+02,"MDT5"
"01055000000","1010552","01510","01","Araba/Álava","Valdegovía/Gaubea",996,2.3827335999999999e+04,1.0443100000000000e+05,"01055003001","Villanueva de Valdegovía","124","0111-3",-3.0988441700000000e+00,4.2847568959999997e+01,"Mapa",5.5200000000000000e+02,"MDT5"
"01056000000","1010565","01520","01","Araba/Álava","Harana/Valle de Arana",232,3.9121857000000000e+03,3.7971000000000000e+04,"01056000101","Alda","29","0139-2",-2.3310468700000002e+00,4.2752891939999998e+01,"Mapa",8.1200000000000000e+02,"MDT5"
"01057000000","1010571","01530","01","Araba/Álava","Villabuena de Álava/Eskuernaga",300,8.4792890000000000e+02,1.4014000000000000e+04,"01057000101","Villabuena de Álava/Eskuernaga","300","0170-4",-2.6645293799999998e+00,4.2548578040000002e+01,"Mapa",4.8300000000000000e+02,"MDT5"
"01058000000","1010587","01540","01","Araba/Álava","Legutio",1800,4.5853184000000001e+03,3.7334000000000000e+04,"01058000601","Legutio","1290","0112-2",-2.6425592899999999e+00,4.2979874400000000e+01,"Mapa",5.7000000000000000e+02,"MDT5"
"01059000000","1010590","01001","01","Araba/Álava","Vitoria-Gasteiz",246976,2.7681200799999999e+04,1.1141200000000000e+05,"01059006301","Vitoria-Gasteiz","241976","0112-4",-2.6727568499999999e+00,4.2850587890000000e+01,"Mapa",5.3900000000000000e+02,"MDT5"
"01060000000","1010604","01550","01","Araba/Álava","Yécora/Iekora",270,1.8802483000000000e+03,2.0919000000000000e+04,"01060000101","Yécora/Iekora","270","0171-3",-2.4700848999999998e+00,4.2569231170000002e+01,"Mapa",6.9400000000000000e+02,"MDT5"
"01061000000","1010611","01560","01","Araba/Álava","Zalduondo",190,1.1878599999999999e+03,2.1423000000000000e+04,"01061000101","Zalduondo","189","0113-4",-2.3465082499999999e+00,4.2885809709999997e+01,"Mapa",6.1200000000000000e+02,"MDT5"
"01062000000","1010626","01570","01","Araba/Álava","Zambrana",383,3.9506248999999998e+03,4.3865000000000000e+04,"01062000401","Zambrana","297","0169-2",-2.8780650200000002e+00,4.2661129680000002e+01,"Mapa",4.5800000000000000e+02,"MDT5"
"01063000000","1010632","01580","01","Araba/Álava","Zuia",2316,1.2248667100000001e+04,4.9689000000000000e+04,"01063001101","Murgia","1112","0112-1",-2.8186285400000002e+00,4.2955977630000000e+01,"Mapa",6.1700000000000000e+02,"MDT5"
"01901000000","1019015","01245","01","Araba/Álava","Iruña Oka/Iruña de Oca",3264,5.3250072000000000e+03,3.5113000000000000e+04,"01901000201","Nanclares de la Oca/Langraiz Oka","2362","0138-1",-2.8147543000000002e+00,4.2818191259999999e+01,"Mapa",5.0200000000000000e+02,"MDT5"
"01902000000","1019020","01305","01","Araba/Álava","Lantarón",899,6.7489609000000000e+03,6.3204000000000000e+04,"01902000401","Comunión/Komunioi","89","0137-4",-2.9664971900000001e+00,4.2716575570000003e+01,"Mapa",4.8200000000000000e+02,"MDT5"
"02001000000","1020019","02010","02","Albacete","Abengibre",748,3.0769225000000001e+03,2.5257000000000000e+04,"02001000101","Abengibre","748","0743-4",-1.5438448700000000e+00,3.9210007800000000e+01,"Mapa",6.3400000000000000e+02,"MDT5"
"02002000000","1020024","02020","02","Albacete","Alatoz",555,6.3855135000000000e+03,3.7232000000000000e+04,"02002000101","Alatoz","544","0767-1",-1.3609760399999999e+00,3.9094948430000002e+01,"Mapa",8.5800000000000000e+02,"MDT5"
"02003000000","1020030","02001","02","Albacete","Albacete",172816,1.1270238000000000e+05,2.4958100000000000e+05,"02003000201","Albacete","166065","0790-2",-1.8557474500000000e+00,3.8995880530000001e+01,"Mapa",6.8100000000000000e+02,"MDT5"
"02004000000","1020045","02030","02","Albacete","Albatana",698,3.0522595000000001e+03,2.2578000000000000e+04,"02004000101","Albatana","690","0843-4",-1.5227524800000001e+00,3.8570875399999998e+01,"Mapa",5.8200000000000000e+02,"MDT5"
"02005000000","1020058","02040","02","Albacete","Alborea",697,7.2051824999999999e+03,3.6259000000000000e+04,"02005000101","Alborea","695","0744-1",-1.3967044900000001e+00,3.9278354419999999e+01,"Mapa",7.0600000000000000e+02,"MDT5"
"02006000000","1020061","02050","02","Albacete","Alcadozo",662,9.9587000000000007e+03,5.3730000000000000e+04,"02006000101","Alcadozo","595","0842-2",-1.9802275000000000e+00,3.8648975800000002e+01,"Mapa",9.2500000000000000e+02,"MDT5"
"02007000000","1020077","02060","02","Albacete","Alcalá del Júcar",1202,1.4682444600000001e+04,5.1494000000000000e+04,"02007000101","Alcalá del Júcar","639","0744-3",-1.4293269700000000e+00,3.9193201799999997e+01,"Mapa",5.4700000000000000e+02,"MDT5"
"02008000000","1020083","02070","02","Albacete","Alcaraz",1414,3.7053312500000000e+04,2.8905600000000000e+05,"02008000101","Alcaraz","1155","0841-1",-2.4903495699999998e+00,3.8664251040000003e+01,"Mapa",9.5300000000000000e+02,"MDT5"
"02009000000","1020096","02080","02","Albacete","Almansa",24566,5.3191104800000001e+04,9.3239000000000000e+04,"02009000101","Almansa","24098","0793-3",-1.0941468100000000e+00,3.8869688109999998e+01,"Mapa",6.8700000000000000e+02,"MDT5"
"02010000000","1020100","02090","02","Albacete","Alpera",2290,1.7847274500000000e+04,5.6652000000000000e+04,"02010000101","Alpera","2268","0792-2",-1.2308024500000001e+00,3.8959690940000002e+01,"Mapa",8.5200000000000000e+02,"MDT5"
"02011000000","1020117","02100","02","Albacete","Ayna",672,1.4658959999999999e+04,6.5701000000000000e+04,"02011000101","Ayna","483","0842-3",-2.0705383099999999e+00,3.8552177460000003e+01,"Mapa",6.9600000000000000e+02,"MDT5"
"02012000000","1020122","02110","02","Albacete","Balazote",2350,6.5153733000000002e+03,3.1749000000000000e+04,"02012000101","Balazote","2325","0790-3",-2.1509673199999999e+00,3.8883961560000003e+01,"Mapa",7.7100000000000000e+02,"MDT5"
"02013000000","1020138","02120","02","Albacete","Balsa de Ves",136,7.6349273000000003e+03,3.9452000000000000e+04,"02013000101","Balsa de Ves","92","0744-2",-1.1965001200000001e+00,3.9264612530000001e+01,"Mapa",7.5100000000000000e+02,"MDT5"
"02014000000","1020143","02130","02","Albacete","El Ballestero",414,1.3869369300000000e+04,4.9399000000000000e+04,"02014000101","El Ballestero","404","0789-3",-2.4550863299999999e+00,3.8842521959999999e+01,"Mapa",1.0270000000000000e+03,"MDT5"
"02015000000","1020156","02140","02","Albacete","Barrax",1872,1.8983330000000002e+04,5.2801000000000000e+04,"02015000101","Barrax","1852","0764-4",-2.2004563699999999e+00,3.9045610600000003e+01,"Mapa",7.3300000000000000e+02,"MDT5"
"02016000000","1020169","02150","02","Albacete","Bienservida",615,9.0734369999999999e+03,5.6309000000000000e+04,"02016000101","Bienservida","611","0840-4",-2.6118424299999998e+00,3.8516020970000000e+01,"Mapa",8.9800000000000000e+02,"MDT5"
"02017000000","1020175","02160","02","Albacete","Bogarra",908,1.6601461899999998e+04,7.7106000000000000e+04,"02017000201","Bogarra","672","0841-4",-2.2125363600000001e+00,3.8580254269999998e+01,"Mapa",8.4400000000000000e+02,"MDT5"
"02018000000","1020181","02170","02","Albacete","Bonete",1103,1.2505526000000000e+04,5.5720000000000000e+04,"02018000101","Bonete","1093","0792-4",-1.3483032399999999e+00,3.8869505889999999e+01,"Mapa",8.8600000000000000e+02,"MDT5"
"02019000000","1020194","02180","02","Albacete","El Bonillo",2852,5.0266000000000000e+04,1.5433100000000000e+05,"02019000101","El Bonillo","2828","0788-2",-2.5402369100000000e+00,3.8950123619999999e+01,"Mapa",1.0620000000000000e+03,"MDT5"
"02020000000","1020208","02190","02","Albacete","Carcelén",521,7.5363730999999998e+03,3.8287000000000000e+04,"02020000101","Carcelén","488","0767-2",-1.3087670800000000e+00,3.9102311759999999e+01,"Mapa",9.1100000000000000e+02,"MDT5"
"02021000000","1020215","02200","02","Albacete","Casas de Juan Núñez",1291,8.8982778999999991e+03,4.2030000000000000e+04,"02021000101","Casas de Juan Núñez","1277","0766-2",-1.5579903500000001e+00,3.9101607489999999e+01,"Mapa",7.0400000000000000e+02,"MDT5"
"02022000000","1020220","02210","02","Albacete","Casas de Lázaro",358,1.1231677299999999e+04,7.0760000000000000e+04,"02022000201","Casas de Lázaro","262","0815-2",-2.2392237800000001e+00,3.8770575800000003e+01,"Mapa",9.4200000000000000e+02,"MDT5"
"02023000000","1020236","02220","02","Albacete","Casas de Ves",628,1.2509460600000000e+04,6.7921000000000000e+04,"02023000101","Casas de Ves","628","0744-2",-1.3345499199999999e+00,3.9259461219999999e+01,"Mapa",7.0700000000000000e+02,"MDT5"
"02024000000","1020241","02230","02","Albacete","Casas-Ibáñez",4558,1.0321971299999999e+04,5.6015000000000000e+04,"02024000101","Casas-Ibáñez","4548","0744-1",-1.4712914300000000e+00,3.9287016860000001e+01,"Mapa",7.0800000000000000e+02,"MDT5"
"02025000000","1020254","02240","02","Albacete","Caudete",10010,1.4160763199999999e+04,4.9636000000000000e+04,"02025000101","Caudete","9557","0819-4",-9.8869119999999999e-01,3.8705730090000003e+01,"Mapa",5.5400000000000000e+02,"MDT5"
"02026000000","1020267","02250","02","Albacete","Cenizate",1192,6.3260153000000000e+03,3.5204000000000000e+04,"02026000101","Cenizate","1192","0743-2",-1.6611334900000001e+00,3.9303321009999998e+01,"Mapa",7.0600000000000000e+02,"MDT5"
"02027000000","1020273","02260","02","Albacete","Corral-Rubio",342,9.4755686000000005e+03,4.2347000000000000e+04,"02027000101","Corral-Rubio","314","0792-3",-1.4608525000000001e+00,3.8835000719999996e+01,"Mapa",8.7000000000000000e+02,"MDT5"
"02028000000","1020289","02270","02","Albacete","Cotillas",130,1.4469287999999999e+03,1.5802000000000000e+04,"02028000201","Cotillas","101","0866-1",-2.5057454500000000e+00,3.8431359149999999e+01,"Mapa",9.4700000000000000e+02,"MDT5"
"02029000000","1020292","02280","02","Albacete","Chinchilla de Monte-Aragón",4213,6.7927330000000002e+04,1.6394600000000000e+05,"02029000201","Chinchilla de Monte-Aragón","3205","0791-1",-1.7260264299999999e+00,3.8921096800000001e+01,"Mapa",9.0700000000000000e+02,"MDT5"
"02030000000","1020306","02290","02","Albacete","Elche de la Sierra",3666,2.3949412499999999e+04,8.4011000000000000e+04,"02030000101","Elche de la Sierra","3300","0867-1",-2.0478137599999999e+00,3.8447908929999997e+01,"Mapa",6.3000000000000000e+02,"MDT5"
"02031000000","1020313","02300","02","Albacete","Férez",678,1.2614154399999999e+04,5.6948000000000000e+04,"02031000101","Férez","653","0867-4",-2.0095393399999999e+00,3.8355670130000000e+01,"Mapa",6.8200000000000000e+02,"MDT5"
"02032000000","1020328","02310","02","Albacete","Fuensanta",313,2.3956453999999999e+03,2.6368000000000000e+04,"02032000101","Fuensanta","309","0742-3",-2.0672521900000000e+00,3.9244660009999997e+01,"Mapa",6.9300000000000000e+02,"MDT5"
"02033000000","1020334","02320","02","Albacete","Fuente-Álamo",2531,1.3339011000000000e+04,4.5577000000000000e+04,"02033000101","Fuente-Álamo","2472","0818-3",-1.4317041100000001e+00,3.8693142289999997e+01,"Mapa",8.2000000000000000e+02,"MDT5"
"02034000000","1020349","02330","02","Albacete","Fuentealbilla",1843,1.0829379000000001e+04,6.4740000000000000e+04,"02034000301","Fuentealbilla","1638","0743-2",-1.5487936400000000e+00,3.9267735790000003e+01,"Mapa",6.7000000000000000e+02,"MDT5"
"02035000000","1020352","02340","02","Albacete","La Gineta",2457,1.3676750000000000e+04,4.9650000000000000e+04,"02035000101","La Gineta","2249","0765-2",-1.9978449599999999e+00,3.9113879160000003e+01,"Mapa",6.9100000000000000e+02,"MDT5"
"02036000000","1020365","02350","02","Albacete","Golosalvo",110,2.8176676000000002e+03,2.4505000000000000e+04,"02036000101","Golosalvo","110","0743-4",-1.6362686300000000e+00,3.9239960130000000e+01,"Mapa",7.4000000000000000e+02,"MDT5"
"02037000000","1020371","02360","02","Albacete","Hellín",30184,7.8118870299999995e+04,1.4982500000000000e+05,"02037000501","Hellín","24961","0843-3",-1.7034492100000000e+00,3.8512189530000001e+01,"Mapa",5.7000000000000000e+02,"MDT5"
"02038000000","1020387","02370","02","Albacete","La Herrera",341,6.3425799999999999e+03,4.2320000000000000e+04,"02038000201","La Herrera","305","0790-1",-2.1263723600000000e+00,3.8962177400000002e+01,"Mapa",7.1400000000000000e+02,"MDT5"
"02039000000","1020390","02380","02","Albacete","Higueruela",1196,2.0545490399999999e+04,8.6388000000000000e+04,"02039000301","Higueruela","1168","0792-1",-1.4453560900000000e+00,3.8964550260000003e+01,"Mapa",1.0410000000000000e+03,"MDT5"
"02040000000","1020404","02390","02","Albacete","Hoya-Gonzalo",643,1.1457497200000000e+04,4.8066000000000000e+04,"02040000101","Hoya-Gonzalo","641","0791-2",-1.5568705300000001e+00,3.8957873520000000e+01,"Mapa",9.2900000000000000e+02,"MDT5"
"02041000000","1020411","02400","02","Albacete","Jorquera",378,6.7970751000000000e+03,5.7182000000000000e+04,"02041000401","Jorquera","302","0743-4",-1.5206139100000000e+00,3.9174574409999998e+01,"Mapa",6.2400000000000000e+02,"MDT5"
"02042000000","1020426","02410","02","Albacete","Letur",948,2.6356062699999999e+04,8.1881000000000000e+04,"02042000302","Letur","274","0867-3",-2.1009688099999999e+00,3.8366320809999998e+01,"Mapa",7.3500000000000000e+02,"MDT5"
"02043000000","1020432","02420","02","Albacete","Lezuza",1412,3.6090350299999998e+04,8.6191000000000000e+04,"02043000101","Lezuza","857","0789-1",-2.3538742699999999e+00,3.8948789959999999e+01,"Mapa",9.1300000000000000e+02,"MDT5"
"02044000000","1020447","02430","02","Albacete","Liétor",1240,3.1178910000000000e+04,7.8803000000000000e+04,"02044000501","Liétor","1170","0842-4",-1.9547931900000000e+00,3.8540837449999998e+01,"Mapa",6.4100000000000000e+02,"MDT5"
"02045000000","1020450","02440","02","Albacete","Madrigueras",4647,7.3345500000000002e+03,3.5851000000000000e+04,"02045000101","Madrigueras","4635","0743-3",-1.7997011999999999e+00,3.9236803389999999e+01,"Mapa",6.8800000000000000e+02,"MDT5"
"02046000000","1020463","02450","02","Albacete","Mahora",1360,1.0814910000000000e+04,4.8081000000000000e+04,"02046000101","Mahora","1342","0743-3",-1.7248183699999999e+00,3.9213030879999998e+01,"Mapa",6.6300000000000000e+02,"MDT5"
"02047000000","1020479","02460","02","Albacete","Masegoso",115,1.0387025700000000e+04,4.2914000000000000e+04,"02047000301","Masegoso","36","0815-4",-2.3151176800000002e+00,3.8718778129999997e+01,"Mapa",1.1080000000000000e+03,"MDT5"
"02048000000","1020485","02470","02","Albacete","Minaya",1538,6.9831234000000004e+03,4.4098000000000000e+04,"02048000101","Minaya","1524","0741-2",-2.3196197299999999e+00,3.9271187009999998e+01,"Mapa",7.2300000000000000e+02,"MDT5"
"02049000000","1020498","02480","02","Albacete","Molinicos",863,1.4358829800000000e+04,7.1840000000000000e+04,"02049001101","Molinicos","430","0866-2",-2.2389815099999999e+00,3.8467781789999997e+01,"Mapa",8.5100000000000000e+02,"MDT5"
"02050000000","1020501","02490","02","Albacete","Montalvos",102,2.4779315000000001e+03,2.3450000000000000e+04,"02050000101","Montalvos","97","0765-1",-2.0276934099999999e+00,3.9167214389999998e+01,"Mapa",7.0900000000000000e+02,"MDT5"
"02051000000","1020518","02500","02","Albacete","Montealegre del Castillo",2057,1.7779348500000000e+04,5.4887000000000000e+04,"02051000101","Montealegre del Castillo","2034","0818-2",-1.3248767200000000e+00,3.8787174690000001e+01,"Mapa",8.1000000000000000e+02,"MDT5"
"02052000000","1020523","02510","02","Albacete","Motilleja",549,2.3824400000000001e+03,2.4700000000000000e+04,"02052000101","Motilleja","548","0743-3",-1.7902576200000000e+00,3.9179488849999998e+01,"Mapa",6.7600000000000000e+02,"MDT5"
"02053000000","1020539","02520","02","Albacete","Munera",3572,2.2942762299999999e+04,5.8755000000000000e+04,"02053000101","Munera","3562","0764-3",-2.4830388000000001e+00,3.9039545750000002e+01,"Mapa",9.2900000000000000e+02,"MDT5"
"02054000000","1020544","02530","02","Albacete","Navas de Jorquera",523,4.2259722000000002e+03,2.6041000000000000e+04,"02054000101","Navas de Jorquera","521","0743-1",-1.7189485000000000e+00,3.9280995130000001e+01,"Mapa",7.0800000000000000e+02,"MDT5"
"02055000000","1020557","02540","02","Albacete","Nerpio",1277,4.3578124199999998e+04,9.8049000000000000e+04,"02055000901","Nerpio","718","0909-2",-2.3022402899999999e+00,3.8148240430000001e+01,"Mapa",1.0850000000000000e+03,"MDT5"
"02056000000","1020560","02550","02","Albacete","Ontur",2072,5.4381593999999996e+03,3.0462000000000000e+04,"02056000101","Ontur","2072","0844-1",-1.4988816599999999e+00,3.8614726609999998e+01,"Mapa",6.5300000000000000e+02,"MDT5"
"02057000000","1020576","02560","02","Albacete","Ossa de Montiel",2411,2.4350247899999998e+04,6.9150000000000000e+04,"02057000201","Ossa de Montiel","2332","0788-1",-2.7427266399999999e+00,3.8962010350000000e+01,"Mapa",8.9800000000000000e+02,"MDT5"
